RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322439,20221109,F,60대,서울특별시,700만원 이상,2,3,16,50,15,5,20,10
53322490,20221109,F,60대,서울특별시,300만원 미만,3,2,19,20,10,60,5,5
53322536,20221109,F,40대,서울특별시,700만원 이상,2,4,18,10,40,30,20,0
53322583,20221109,F,60대,서울특별시,300만원 미만,2,4,18,20,20,10,40,10
53322714,20221109,M,20대,서울특별시,500이상700만원 미만,2,3,16,5,5,5,85,0
53322847,20221109,F,20대,서울특별시,700만원 이상,3,12,39,50,0,0,50,0
53322854,20221109,F,20대,서울특별시,700만원 이상,1,8,21,60,10,20,10,0
53322918,20221109,F,50대,서울특별시,700만원 이상,2,3,16,90,10,0,0,0
53323185,20221109,F,20대,서울특별시,무응답,2,0,10,50,20,10,20,0
53323388,20221109,F,60대,서울특별시,700만원 이상,1,2,9,80,0,0,20,0
53323483,20221109,M,20대,서울특별시,300만원 미만,1,7,19,50,30,10,10,0
53323573,20221109,F,20대,서울특별시,무응답,5,7,39,5,35,30,30,0
53323698,20221109,M,50대,서울특별시,300만원 미만,1,3,11,40,10,30,20,0
53323903,20221109,F,30대,충청북도,500이상700만원 미만,2,5,20,20,20,40,20,0
53324004,20221109,M,20대,전라남도,700만원 이상,2,2,14,100,0,0,0,0
53324100,20221109,M,30대,서울특별시,500이상700만원 미만,1,3,11,95,0,0,5,0
53324371,20221109,F,20대,서울특별시,무응답,1,16,37,50,20,10,20,0
53324391,20221109,F,30대,서울특별시,300이상500만원 미만,4,12,44,30,10,20,40,0
53324422,20221109,F,40대,서울특별시,300이상500만원 미만,7,10,55,70,0,0,0,30
53324884,20221109,F,60대,경기도,300만원 미만,2,2,14,10,30,10,30,20
53325200,20221109,M,60대,서울특별시,300이상500만원 미만,2,6,22,40,20,20,20,0
53325320,20221109,M,30대,서울특별시,300이상500만원 미만,2,2,14,10,30,50,10,0
53325412,20221109,F,30대,세종특별자치시,300만원 미만,3,10,35,30,10,10,50,0
53325421,20221109,M,20대,제주특별자치도,700만원 이상,1,2,9,70,0,30,0,0
53325778,20221109,M,20대,인천광역시,300만원 미만,3,6,27,50,0,40,10,0
53325978,20221109,F,40대,울산광역시,700만원 이상,2,6,22,30,30,10,30,0
53326046,20221109,M,40대,경기도,300이상500만원 미만,1,2,9,30,0,0,70,0
53326264,20221109,F,40대,경상남도,300만원 미만,0,1,2,60,0,30,10,0
53326387,20221109,F,30대,전라남도,300만원 미만,2,3,16,5,5,5,5,80
53326575,20221109,F,40대,서울특별시,500이상700만원 미만,1,3,11,50,20,10,20,0
53326684,20221109,M,50대,대전광역시,300이상500만원 미만,8,6,52,10,40,50,0,0
53326760,20221109,F,40대,세종특별자치시,700만원 이상,2,5,20,70,0,10,20,0
53327084,20221109,M,20대,경기도,700만원 이상,5,8,41,75,5,0,20,0
53327149,20221109,F,30대,전라북도,300이상500만원 미만,1,1,7,80,0,0,20,0
53327154,20221109,F,20대,경상북도,무응답,7,15,65,40,10,0,50,0
53327164,20221109,F,50대,충청북도,300만원 미만,2,2,14,0,30,20,50,0
53327248,20221109,F,60대,서울특별시,700만원 이상,2,2,14,50,20,20,10,0
53327587,20221109,F,50대,서울특별시,500이상700만원 미만,1,5,15,100,0,0,0,0
53327636,20221109,M,40대,대전광역시,500이상700만원 미만,3,12,39,70,0,20,10,0
53327849,20221109,M,60대,경상북도,300만원 미만,2,6,22,50,10,10,30,0
53328291,20221109,M,40대,경상남도,500이상700만원 미만,1,3,11,0,10,10,80,0
53328304,20221109,F,40대,경기도,300이상500만원 미만,1,1,7,100,0,0,0,0
53328469,20221109,F,60대,부산광역시,500이상700만원 미만,2,1,12,10,60,20,10,0
53328579,20221109,M,20대,경기도,700만원 이상,4,4,28,20,70,0,10,0
53328664,20221109,F,30대,인천광역시,300이상500만원 미만,1,5,15,60,10,10,20,0
53328897,20221109,F,40대,충청남도,700만원 이상,1,3,11,10,30,10,50,0
53328979,20221109,F,20대,경기도,300만원 미만,0,3,6,60,40,0,0,0
53329187,20221109,M,40대,경기도,300이상500만원 미만,1,8,21,50,50,0,0,0
53329256,20221109,M,40대,경기도,300이상500만원 미만,2,4,18,0,0,0,100,0
53329552,20221109,F,40대,부산광역시,500이상700만원 미만,0,2,4,0,100,0,0,0
53329566,20221109,F,20대,전라북도,500이상700만원 미만,3,5,25,30,10,20,40,0
53329675,20221109,F,40대,경기도,700만원 이상,4,10,40,80,0,0,20,0
53329688,20221109,F,50대,대전광역시,300이상500만원 미만,5,12,49,80,0,0,20,0
53329786,20221109,F,50대,강원도,500이상700만원 미만,2,6,22,30,30,20,20,0
53329812,20221109,M,50대,서울특별시,500이상700만원 미만,2,5,20,30,30,10,30,0
53329866,20221109,M,50대,서울특별시,500이상700만원 미만,3,7,29,10,30,20,40,0
53329955,20221109,F,60대,경기도,500이상700만원 미만,3,4,23,20,20,10,50,0
53330008,20221109,F,30대,부산광역시,300이상500만원 미만,4,12,44,30,10,30,30,0
53330114,20221109,F,40대,부산광역시,300만원 미만,1,10,25,50,0,0,50,0
53330201,20221109,M,30대,인천광역시,500이상700만원 미만,4,8,36,100,0,0,0,0
53330274,20221109,M,60대,부산광역시,300만원 미만,2,4,18,30,50,10,10,0
53330511,20221109,M,40대,서울특별시,500이상700만원 미만,1,2,9,0,40,10,50,0
53330515,20221109,F,20대,경상북도,300이상500만원 미만,2,2,14,30,50,10,10,0
53330537,20221109,F,40대,경기도,300이상500만원 미만,1,1,7,80,5,5,10,0
53330797,20221109,M,60대,경기도,300만원 미만,15,15,105,80,20,0,0,0
53330837,20221109,M,40대,경기도,700만원 이상,2,4,18,50,20,20,10,0
53330938,20221109,M,60대,경상남도,300만원 미만,7,8,51,20,40,20,20,0
53330944,20221109,M,50대,서울특별시,700만원 이상,2,3,16,30,20,20,30,0
53330957,20221109,M,20대,충청북도,700만원 이상,1,1,7,20,0,0,80,0
53330983,20221109,F,60대,경기도,700만원 이상,12,12,84,70,0,30,0,0
53331048,20221109,F,40대,대구광역시,300만원 미만,1,5,15,40,20,10,30,0
53331351,20221109,M,20대,경기도,300이상500만원 미만,4,10,40,70,0,0,30,0
53331432,20221109,M,60대,경기도,500이상700만원 미만,3,10,35,35,25,10,30,0
53331608,20221109,M,60대,강원도,300이상500만원 미만,3,3,21,0,0,0,50,50
53331657,20221109,M,20대,경기도,300만원 미만,3,8,31,30,10,10,50,0
53331704,20221109,F,60대,경상북도,300이상500만원 미만,1,1,7,10,0,10,50,30
53331784,20221109,M,60대,광주광역시,300만원 미만,10,10,70,40,20,10,30,0
53332046,20221109,M,20대,대구광역시,300만원 미만,8,8,56,85,0,5,10,0
53332063,20221109,M,40대,인천광역시,무응답,8,8,56,30,10,10,50,0
53332238,20221109,M,40대,경기도,700만원 이상,2,5,20,20,20,40,20,0
53332424,20221109,F,20대,경기도,700만원 이상,1,10,25,10,10,10,30,40
53332429,20221109,M,30대,경상남도,300이상500만원 미만,2,8,26,50,0,0,20,30
53332506,20221109,M,60대,광주광역시,300만원 미만,3,4,23,40,40,10,10,0
53332549,20221109,F,60대,경기도,500이상700만원 미만,2,5,20,5,15,50,20,10
53332589,20221109,M,50대,경기도,300만원 미만,0,8,16,10,70,10,10,0
