RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
1000001,20221116,F,20대,광주광역시,700만원 이상,1,1,7,100,0,0,0,0
53322357,20221116,F,60대,서울특별시,300이상500만원 미만,5,5,35,50,20,0,30,0
53322551,20221116,F,60대,서울특별시,300이상500만원 미만,3,3,21,20,20,20,20,20
53322597,20221116,M,60대,서울특별시,500이상700만원 미만,13,13,91,50,20,0,30,0
53322654,20221116,F,50대,서울특별시,700만원 이상,3,8,31,30,15,5,50,0
53322988,20221116,M,40대,서울특별시,500이상700만원 미만,1,3,11,30,10,10,50,0
53323031,20221116,M,50대,서울특별시,700만원 이상,2,4,18,0,10,0,10,80
53323121,20221116,F,40대,서울특별시,500이상700만원 미만,6,5,40,50,10,10,10,20
53323260,20221116,M,40대,서울특별시,300이상500만원 미만,1,3,11,30,20,35,15,0
53323525,20221116,F,20대,서울특별시,무응답,2,3,16,30,30,30,10,0
53323710,20221116,M,50대,서울특별시,700만원 이상,1,3,11,40,50,0,10,0
53323938,20221116,M,60대,서울특별시,300이상500만원 미만,6,8,46,20,20,20,40,0
53323975,20221116,M,40대,서울특별시,300만원 미만,4,8,36,25,25,25,25,0
53324266,20221116,F,20대,서울특별시,300이상500만원 미만,2,4,18,40,10,10,40,0
53324428,20221116,F,20대,서울특별시,300만원 미만,8,9,58,20,80,0,0,0
53324567,20221116,F,30대,경상북도,500이상700만원 미만,3,5,25,50,20,5,25,0
53324593,20221116,M,50대,서울특별시,300이상500만원 미만,2,3,16,40,40,0,20,0
53324624,20221116,F,30대,서울특별시,300이상500만원 미만,3,5,25,75,5,10,10,0
53324826,20221116,M,60대,서울특별시,300이상500만원 미만,2,4,18,100,0,0,0,0
53325115,20221116,M,20대,경기도,500이상700만원 미만,3,3,21,10,10,0,80,0
53325124,20221116,F,60대,서울특별시,700만원 이상,2,2,14,0,0,40,60,0
53325527,20221116,F,40대,제주특별자치도,300만원 미만,4,2,24,20,10,50,20,0
53325548,20221116,M,50대,대구광역시,700만원 이상,2,6,22,30,30,0,0,40
53325862,20221116,M,40대,경기도,300만원 미만,4,8,36,50,0,50,0,0
53325884,20221116,F,50대,경기도,300이상500만원 미만,6,8,46,20,0,30,50,0
53325969,20221116,F,50대,광주광역시,300이상500만원 미만,2,5,20,50,10,10,30,0
53325996,20221116,F,50대,경상남도,500이상700만원 미만,1,3,11,40,0,30,30,0
53326116,20221116,M,50대,울산광역시,700만원 이상,2,5,20,5,70,1,24,0
53326275,20221116,F,50대,서울특별시,300만원 미만,3,2,19,50,10,20,20,0
53326369,20221116,M,60대,경상북도,300만원 미만,0,2,4,70,0,20,10,0
53326406,20221116,M,30대,경기도,700만원 이상,1,2,9,30,20,20,30,0
53326463,20221116,M,20대,부산광역시,300만원 미만,4,6,32,10,10,30,50,0
53326522,20221116,M,30대,경기도,300이상500만원 미만,1,10,25,30,50,0,20,0
53326569,20221116,F,50대,서울특별시,500이상700만원 미만,3,5,25,50,0,20,30,0
53326639,20221116,M,40대,서울특별시,300이상500만원 미만,2,5,20,50,10,20,20,0
53326656,20221116,M,60대,전라북도,500이상700만원 미만,2,12,34,0,90,0,10,0
53326661,20221116,M,50대,충청북도,700만원 이상,1,2,9,30,30,0,40,0
53326721,20221116,F,30대,경기도,500이상700만원 미만,1,1,7,50,30,10,10,0
53326887,20221116,M,60대,부산광역시,700만원 이상,4,8,36,50,0,0,50,0
53326983,20221116,F,40대,경상남도,700만원 이상,1,4,13,10,50,10,30,0
53327187,20221116,F,50대,충청남도,300만원 미만,5,3,31,50,0,0,50,0
53327485,20221116,F,40대,인천광역시,300만원 미만,4,12,44,40,10,10,40,0
53327532,20221116,M,50대,경상북도,300만원 미만,10,3,56,80,5,5,10,0
53327534,20221116,M,20대,광주광역시,무응답,2,4,18,50,0,20,30,0
53327564,20221116,F,20대,전라남도,300만원 미만,5,10,45,50,20,10,20,0
53327572,20221116,M,50대,부산광역시,500이상700만원 미만,1,5,15,20,40,10,30,0
53327728,20221116,F,30대,서울특별시,300이상500만원 미만,0,18,36,90,0,0,10,0
53327729,20221116,M,50대,부산광역시,300이상500만원 미만,2,5,20,40,20,10,30,0
53327773,20221116,M,40대,전라북도,무응답,2,4,18,50,20,0,30,0
53327863,20221116,M,50대,충청북도,300만원 미만,1,1,7,50,10,20,20,0
53328020,20221116,M,30대,경기도,300이상500만원 미만,2,5,20,20,60,20,0,0
53328165,20221116,M,40대,대구광역시,300이상500만원 미만,1,3,11,30,30,0,40,0
53328259,20221116,F,30대,경기도,300이상500만원 미만,3,8,31,50,20,30,0,0
53328352,20221116,F,20대,경상북도,300만원 미만,3,5,25,40,20,20,20,0
53328354,20221116,F,40대,충청북도,300이상500만원 미만,5,5,35,80,0,0,20,0
53328533,20221116,F,50대,경기도,500이상700만원 미만,1,2,9,50,20,10,10,10
53328657,20221116,F,20대,강원도,무응답,1,3,11,60,20,0,20,0
53328694,20221116,M,30대,전라남도,300이상500만원 미만,4,12,44,30,30,20,20,0
53328811,20221116,M,40대,경상북도,300만원 미만,3,7,29,70,0,10,20,0
53328815,20221116,M,30대,인천광역시,300만원 미만,2,6,22,90,5,0,5,0
53329222,20221116,M,20대,서울특별시,700만원 이상,2,6,22,30,10,10,50,0
53329593,20221116,F,40대,서울특별시,300만원 미만,3,6,27,50,20,0,30,0
53329666,20221116,F,50대,대구광역시,무응답,4,6,32,20,60,0,20,0
53330017,20221116,M,30대,경상남도,300이상500만원 미만,2,12,34,0,100,0,0,0
53330055,20221116,M,20대,경상남도,300만원 미만,5,5,35,100,0,0,0,0
53330077,20221116,M,50대,전라남도,300이상500만원 미만,3,5,25,30,10,10,50,0
53330225,20221116,M,50대,대구광역시,700만원 이상,2,4,18,50,25,5,20,0
53330334,20221116,M,50대,경기도,500이상700만원 미만,3,15,45,10,50,10,30,0
53330373,20221116,M,30대,경기도,700만원 이상,2,3,16,60,0,0,40,0
53330577,20221116,F,30대,경기도,500이상700만원 미만,1,4,13,40,20,20,20,0
53330711,20221116,M,20대,서울특별시,500이상700만원 미만,2,5,20,10,10,30,50,0
53330752,20221116,F,30대,대구광역시,700만원 이상,2,6,22,40,20,20,20,0
53330790,20221116,F,60대,충청북도,500이상700만원 미만,2,4,18,0,60,30,10,0
53330815,20221116,M,30대,대구광역시,500이상700만원 미만,3,3,21,30,30,30,10,0
53330827,20221116,F,20대,경기도,300이상500만원 미만,5,12,49,90,0,0,10,0
53330886,20221116,F,30대,서울특별시,300이상500만원 미만,3,5,25,50,30,10,10,0
53330940,20221116,F,60대,강원도,700만원 이상,1,5,15,10,30,30,20,10
53331029,20221116,F,30대,경상남도,300이상500만원 미만,5,10,45,20,0,0,0,80
53331312,20221116,M,50대,경기도,500이상700만원 미만,1,2,9,0,20,0,80,0
53331324,20221116,M,40대,인천광역시,300이상500만원 미만,1,5,15,30,0,0,70,0
53331400,20221116,F,60대,부산광역시,300만원 미만,5,10,45,20,20,10,50,0
53331491,20221116,M,50대,부산광역시,300이상500만원 미만,4,4,28,10,50,10,30,0
53331824,20221116,F,50대,인천광역시,무응답,1,0,5,90,1,0,9,0
53331831,20221116,F,50대,서울특별시,700만원 이상,2,6,22,30,30,10,30,0
53331843,20221116,M,50대,인천광역시,300이상500만원 미만,2,3,16,10,40,20,30,0
53331896,20221116,F,60대,경기도,300이상500만원 미만,1,5,15,20,0,30,50,0
53331901,20221116,F,30대,경기도,700만원 이상,5,10,45,50,30,15,5,0
53331961,20221116,F,60대,제주특별자치도,300이상500만원 미만,2,2,14,50,30,20,0,0
53332016,20221116,M,60대,광주광역시,300만원 미만,4,8,36,70,0,0,30,0
53332080,20221116,M,40대,경기도,300이상500만원 미만,1,1,7,20,50,0,30,0
53332214,20221116,M,30대,충청북도,700만원 이상,1,3,11,65,15,5,15,0
53332227,20221116,F,50대,광주광역시,300만원 미만,2,2,14,70,30,0,0,0
53332243,20221116,F,50대,대구광역시,300만원 미만,1,1,7,50,50,0,0,0
53332367,20221116,F,60대,부산광역시,300이상500만원 미만,2,12,34,50,20,20,10,0
53332412,20221116,F,60대,경상남도,300이상500만원 미만,3,5,25,30,30,30,10,0
53332800,20221116,M,20대,인천광역시,무응답,5,8,41,80,10,0,10,0
53332805,20221116,M,30대,광주광역시,300만원 미만,1,2,9,90,0,0,10,0
53332829,20221116,F,30대,대전광역시,300만원 미만,5,10,45,60,0,0,40,0
53332915,20221116,M,20대,경기도,500이상700만원 미만,0,2,4,20,80,0,0,0
53333010,20221116,M,40대,인천광역시,700만원 이상,3,5,25,90,10,0,0,0
53333247,20221116,F,50대,울산광역시,300이상500만원 미만,2,5,20,40,50,0,10,0
53333429,20221116,M,40대,대전광역시,300이상500만원 미만,2,8,26,20,60,0,20,0
53333613,20221116,M,20대,서울특별시,300이상500만원 미만,3,6,27,20,20,50,10,0
53333818,20221116,M,20대,인천광역시,300만원 미만,3,10,35,50,0,10,40,0
53334084,20221116,F,40대,경상남도,무응답,1,4,13,80,0,0,20,0
53334265,20221116,M,50대,서울특별시,300이상500만원 미만,5,3,31,30,30,5,35,0
53334489,20221116,M,50대,경기도,300이상500만원 미만,2,2,14,70,20,0,10,0
53334490,20221116,F,30대,경기도,500이상700만원 미만,3,6,27,70,0,0,30,0
53334541,20221116,M,40대,서울특별시,500이상700만원 미만,2,1,12,20,30,0,50,0
53334717,20221116,F,40대,광주광역시,700만원 이상,2,4,18,0,50,50,0,0
53334856,20221116,F,40대,서울특별시,700만원 이상,3,8,31,70,5,5,20,0
53334957,20221116,F,40대,전라남도,300만원 미만,3,5,25,50,0,10,0,40
53334979,20221116,F,30대,경상남도,300이상500만원 미만,1,3,11,100,0,0,0,0
53335198,20221116,F,40대,인천광역시,300이상500만원 미만,2,4,18,50,10,20,20,0
53335371,20221116,M,30대,경기도,300만원 미만,2,5,20,60,20,0,20,0
53335451,20221116,M,30대,세종특별자치시,300이상500만원 미만,1,3,11,60,10,10,20,0
53335592,20221116,F,50대,서울특별시,700만원 이상,5,5,35,50,20,20,10,0
53335716,20221116,M,20대,충청북도,300이상500만원 미만,4,5,30,60,0,0,40,0
53335792,20221116,M,30대,대전광역시,무응답,3,3,21,80,20,0,0,0
