RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322245,20221123,F,50대,서울특별시,300만원 미만,1,5,15,90,0,0,10,0
53322254,20221123,M,50대,서울특별시,300이상500만원 미만,5,12,49,90,10,0,0,0
53322356,20221123,F,20대,서울특별시,무응답,2,4,18,50,20,20,10,0
53322643,20221123,F,60대,서울특별시,700만원 이상,3,5,25,10,10,30,50,0
53322949,20221123,M,50대,서울특별시,500이상700만원 미만,2,5,20,50,50,0,0,0
53323072,20221123,M,20대,서울특별시,300만원 미만,5,12,49,50,0,20,30,0
53323081,20221123,F,50대,서울특별시,700만원 이상,3,3,21,25,10,40,15,10
53323247,20221123,M,60대,서울특별시,700만원 이상,4,4,28,10,70,0,20,0
53323268,20221123,F,60대,서울특별시,500이상700만원 미만,8,10,60,30,30,20,20,0
53323379,20221123,F,50대,서울특별시,500이상700만원 미만,5,3,31,80,5,10,5,0
53323435,20221123,F,40대,서울특별시,500이상700만원 미만,3,5,25,20,30,40,10,0
53323516,20221123,F,20대,서울특별시,700만원 이상,1,2,9,50,10,10,30,0
53323767,20221123,F,60대,서울특별시,700만원 이상,3,4,23,40,20,0,40,0
53323783,20221123,M,60대,서울특별시,300이상500만원 미만,1,3,11,20,80,0,0,0
53324111,20221123,M,20대,서울특별시,무응답,3,5,25,40,20,20,20,0
53324275,20221123,F,30대,서울특별시,300만원 미만,4,14,48,35,20,0,45,0
53324318,20221123,M,60대,서울특별시,500이상700만원 미만,3,3,21,0,70,0,30,0
53324332,20221123,M,60대,서울특별시,300이상500만원 미만,4,3,26,20,30,20,20,10
53324427,20221123,F,30대,서울특별시,700만원 이상,1,4,13,50,0,0,50,0
53324430,20221123,F,40대,서울특별시,300만원 미만,5,10,45,40,0,10,50,0
53324716,20221123,M,60대,서울특별시,300이상500만원 미만,2,2,14,90,0,0,10,0
53324749,20221123,M,50대,서울특별시,300이상500만원 미만,1,4,13,50,0,0,50,0
53324767,20221123,F,50대,서울특별시,700만원 이상,2,0,10,20,40,0,40,0
53324786,20221123,F,60대,서울특별시,500이상700만원 미만,5,8,41,0,50,0,50,0
53324852,20221123,F,40대,서울특별시,300이상500만원 미만,2,5,20,50,0,20,30,0
53324858,20221123,F,60대,서울특별시,300만원 미만,2,5,20,50,0,30,20,0
53324943,20221123,M,40대,서울특별시,300만원 미만,1,4,13,60,10,0,30,0
53325012,20221123,F,30대,서울특별시,300이상500만원 미만,4,8,36,40,10,10,40,0
53325074,20221123,F,20대,서울특별시,300만원 미만,10,12,74,80,0,0,20,0
53325127,20221123,M,60대,서울특별시,300만원 미만,3,5,25,20,30,10,30,10
53325395,20221123,F,50대,서울특별시,300만원 미만,1,4,13,80,0,0,20,0
53325448,20221123,F,50대,충청남도,500이상700만원 미만,2,3,16,35,15,5,45,0
53325532,20221123,F,30대,경상남도,700만원 이상,1,2,9,80,0,19,1,0
53325582,20221123,M,40대,충청북도,300이상500만원 미만,2,8,26,0,0,0,0,100
53325709,20221123,F,40대,경기도,300만원 미만,2,4,18,50,10,10,30,0
53325875,20221123,M,20대,경기도,700만원 이상,3,5,25,50,0,10,40,0
53325906,20221123,M,50대,전라남도,300이상500만원 미만,2,6,22,30,20,10,40,0
53326013,20221123,F,30대,경기도,300이상500만원 미만,1,8,21,40,40,0,20,0
53326083,20221123,F,50대,부산광역시,300이상500만원 미만,5,10,45,50,20,0,30,0
53326144,20221123,F,30대,인천광역시,300이상500만원 미만,3,3,21,70,0,0,30,0
53326148,20221123,M,50대,서울특별시,300이상500만원 미만,3,5,25,80,0,0,20,0
53326155,20221123,M,60대,경기도,300만원 미만,10,10,70,70,10,10,10,0
53326500,20221123,M,40대,경기도,300만원 미만,3,8,31,70,0,20,10,0
53326600,20221123,M,60대,인천광역시,300만원 미만,3,6,27,20,20,10,50,0
53326645,20221123,F,20대,경기도,무응답,1,3,11,90,10,0,0,0
53326743,20221123,F,40대,경기도,500이상700만원 미만,1,3,11,40,20,10,30,0
53326793,20221123,M,60대,인천광역시,300만원 미만,1,5,15,50,10,20,20,0
53326803,20221123,M,40대,경기도,500이상700만원 미만,3,12,39,75,5,10,10,0
53326822,20221123,M,60대,부산광역시,700만원 이상,3,9,33,40,5,10,20,25
53326884,20221123,M,20대,제주특별자치도,300만원 미만,2,4,18,20,80,0,0,0
53326954,20221123,F,30대,충청북도,500이상700만원 미만,1,6,17,20,0,10,10,60
53326972,20221123,M,40대,서울특별시,300만원 미만,2,2,14,30,50,10,10,0
53327065,20221123,F,30대,충청남도,500이상700만원 미만,5,2,29,70,10,10,10,0
53327079,20221123,F,50대,대구광역시,300이상500만원 미만,6,9,48,20,50,0,30,0
53327142,20221123,M,30대,경기도,700만원 이상,2,4,18,30,0,0,30,40
53327404,20221123,F,60대,부산광역시,300만원 미만,2,3,16,30,20,20,30,0
53327469,20221123,M,30대,대구광역시,300이상500만원 미만,1,4,13,50,10,10,30,0
53327641,20221123,F,50대,경기도,700만원 이상,2,2,14,20,10,40,30,0
53327650,20221123,F,50대,경기도,700만원 이상,8,2,44,0,80,0,20,0
53327669,20221123,F,50대,광주광역시,300이상500만원 미만,1,0,5,20,30,0,50,0
53327713,20221123,F,30대,경기도,700만원 이상,8,16,72,10,20,10,60,0
53327731,20221123,F,30대,부산광역시,300만원 미만,2,4,18,50,0,0,50,0
53327761,20221123,M,50대,부산광역시,700만원 이상,4,15,50,0,30,0,70,0
53327830,20221123,F,40대,부산광역시,300이상500만원 미만,2,6,22,40,10,20,30,0
53328151,20221123,F,30대,제주특별자치도,300만원 미만,2,4,18,20,40,40,0,0
53328292,20221123,F,40대,인천광역시,500이상700만원 미만,3,0,15,30,20,50,0,0
53328339,20221123,F,30대,울산광역시,300이상500만원 미만,3,0,15,0,0,0,100,0
53328577,20221123,M,30대,경상남도,300만원 미만,2,2,14,30,60,0,10,0
53328633,20221123,F,20대,서울특별시,500이상700만원 미만,4,10,40,50,20,10,20,0
53328666,20221123,M,50대,대전광역시,700만원 이상,2,4,18,30,20,30,20,0
53328799,20221123,F,40대,부산광역시,300이상500만원 미만,2,6,22,100,0,0,0,0
53328883,20221123,M,40대,대전광역시,700만원 이상,1,10,25,80,0,0,20,0
53328942,20221123,F,20대,대전광역시,무응답,1,2,9,35,15,35,15,0
53329099,20221123,M,30대,경기도,700만원 이상,1,4,13,50,20,5,25,0
53329133,20221123,M,50대,경상북도,300만원 미만,2,10,30,70,20,0,10,0
53329705,20221123,M,40대,경기도,300이상500만원 미만,1,2,9,0,40,40,20,0
53329738,20221123,F,50대,경기도,500이상700만원 미만,4,4,28,10,20,10,60,0
53329979,20221123,M,40대,경상남도,300이상500만원 미만,3,6,27,30,30,20,20,0
53330020,20221123,F,30대,서울특별시,300이상500만원 미만,5,6,37,70,15,5,10,0
53330035,20221123,F,20대,경기도,500이상700만원 미만,1,1,7,20,30,50,0,0
53330503,20221123,F,60대,충청북도,700만원 이상,4,2,24,10,20,50,0,20
53330522,20221123,F,40대,경상북도,300이상500만원 미만,1,4,13,20,30,20,30,0
53330802,20221123,F,50대,경상북도,무응답,1,3,11,0,0,70,30,0
53330841,20221123,M,60대,전라남도,300이상500만원 미만,2,6,22,100,0,0,0,0
53331214,20221123,M,40대,전라남도,300이상500만원 미만,4,15,50,30,30,20,20,0
53331263,20221123,F,40대,서울특별시,300만원 미만,1,0,5,40,15,10,30,5
53331307,20221123,M,20대,경기도,무응답,3,12,39,80,0,0,20,0
53331633,20221123,M,30대,충청남도,300만원 미만,0,4,8,0,0,30,0,70
53331667,20221123,F,50대,서울특별시,700만원 이상,5,1,27,40,20,20,10,10
53331964,20221123,F,30대,서울특별시,300만원 미만,1,2,9,50,30,10,10,0
53332185,20221123,M,30대,경상남도,300이상500만원 미만,2,4,18,50,10,10,30,0
53332267,20221123,M,30대,광주광역시,300이상500만원 미만,5,10,45,20,20,20,40,0
53332382,20221123,F,20대,경기도,무응답,2,6,22,50,0,0,50,0
53332402,20221123,M,50대,제주특별자치도,500이상700만원 미만,1,1,7,40,30,30,0,0
53332421,20221123,M,30대,경기도,500이상700만원 미만,6,6,42,40,20,20,20,0
53332440,20221123,F,20대,인천광역시,300이상500만원 미만,8,6,52,5,20,70,5,0
53332564,20221123,F,50대,경기도,300이상500만원 미만,2,5,20,50,20,0,30,0
53332612,20221123,F,50대,부산광역시,700만원 이상,3,5,25,20,80,0,0,0
53332717,20221123,F,30대,대전광역시,300이상500만원 미만,4,8,36,60,20,10,10,0
53332845,20221123,M,30대,서울특별시,700만원 이상,3,7,29,30,30,0,40,0
53332935,20221123,M,50대,경기도,700만원 이상,2,6,22,30,30,20,0,20
53333151,20221123,M,30대,경기도,300이상500만원 미만,5,18,61,70,0,0,30,0
53333162,20221123,F,40대,부산광역시,300이상500만원 미만,1,4,13,0,0,50,50,0
53333207,20221123,F,60대,경상남도,500이상700만원 미만,8,10,60,30,25,25,20,0
53333329,20221123,M,60대,전라북도,300이상500만원 미만,6,6,42,30,20,0,50,0
53333377,20221123,F,60대,경상북도,300이상500만원 미만,2,2,14,30,30,30,10,0
53333488,20221123,M,20대,부산광역시,700만원 이상,4,7,34,20,30,30,20,0
53333513,20221123,F,60대,경기도,500이상700만원 미만,2,6,22,30,20,0,50,0
53333730,20221123,F,60대,강원도,500이상700만원 미만,3,8,31,30,20,30,20,0
53333824,20221123,F,40대,광주광역시,300이상500만원 미만,3,6,27,50,30,0,20,0
53334043,20221123,M,50대,충청남도,300이상500만원 미만,2,6,22,30,50,0,20,0
53334080,20221123,F,50대,서울특별시,300이상500만원 미만,1,2,9,60,0,30,10,0
