RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322496,20221102,F,60대,서울특별시,300이상500만원 미만,2,2,14,30,0,0,30,40
53322582,20221102,F,60대,서울특별시,무응답,1,1,7,30,30,10,30,0
53322600,20221102,F,60대,서울특별시,500이상700만원 미만,2,1,12,10,60,0,30,0
53322622,20221102,M,60대,서울특별시,300만원 미만,2,0,10,40,15,10,35,0
53322914,20221102,F,50대,서울특별시,300만원 미만,2,4,18,0,0,40,20,40
53322977,20221102,F,60대,서울특별시,300이상500만원 미만,5,2,29,10,10,10,50,20
53323016,20221102,F,60대,서울특별시,300만원 미만,2,2,14,0,80,0,20,0
53323024,20221102,F,20대,서울특별시,300이상500만원 미만,5,7,39,50,40,0,10,0
53323149,20221102,M,20대,경기도,300만원 미만,1,6,17,30,20,0,50,0
53323488,20221102,M,40대,서울특별시,700만원 이상,2,8,26,90,0,0,10,0
53323649,20221102,M,20대,서울특별시,500이상700만원 미만,3,10,35,60,0,10,30,0
53323676,20221102,F,40대,서울특별시,500이상700만원 미만,2,8,26,0,70,0,30,0
53323771,20221102,M,30대,서울특별시,500이상700만원 미만,2,5,20,60,10,10,20,0
53323802,20221102,F,60대,서울특별시,300이상500만원 미만,12,10,80,40,40,10,10,0
53323928,20221102,M,50대,서울특별시,300만원 미만,4,4,28,20,80,0,0,0
53324030,20221102,F,50대,서울특별시,300이상500만원 미만,2,4,18,0,70,30,0,0
53324076,20221102,F,60대,서울특별시,700만원 이상,5,5,35,30,20,20,30,0
53324078,20221102,M,40대,서울특별시,300이상500만원 미만,2,8,26,50,30,0,20,0
53324164,20221102,M,20대,경상남도,300만원 미만,2,8,26,60,20,15,5,0
53324165,20221102,F,40대,서울특별시,700만원 이상,5,10,45,80,20,0,0,0
53324517,20221102,M,30대,서울특별시,300이상500만원 미만,2,8,26,20,0,0,80,0
